SKU,Manufacturer,Current_Name_EN,Current_Name_FR,New_Name_EN,New_Name_FR
"C-000.32.305","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.306","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.307","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.309","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.523","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.537","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.549","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.551","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.027","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.350","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.355","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.356","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.357","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.366","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.367","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.440","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.441","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.444","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.445","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.450","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.455","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.460","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.461","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.464","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.465","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.470","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.475","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.440A","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.441A","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.444A","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.445A","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.450A","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.455A","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.460A","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.461A","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.464A","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.465A","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.470A","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.475A","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.430","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.431","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.434","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-000.32.435","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-001.30.100","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-008.30.100","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-011.10.118","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-011.28.388","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-144.10.118","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-144.24.420","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-144.28.388","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-008.30.120","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-010.28.388","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-261.10.118","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-261.24.420","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-261.28.388","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-008.33.610","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-008.33.611","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-008.33.612","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-008.33.620","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-008.33.621","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-008.33.622","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-011.28.388, C-144.28.388, C-261.28.388","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-014.10.118","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-014.28.388","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-034.10.118","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-034.28.388","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-182.10.118, C-182.28.388","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-283.10.330","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-283.10.335","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-284.10.330","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-284.10.335","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-008.33.530","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"C-008.33.535","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"D-001.71.120","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"D-002.71.120","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"D-008.71.120","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"D-008.71.220","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"D-886.11.021","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"D-886.11.022","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"J-008.31.276, J-008.31.277","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"J-008.31.415","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"J-008.31.416","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"J-008.31.417","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"J-008.31.418","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"J-008.31.431","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"J-008.31.432","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"J-008.31.433","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"J-008.31.434","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"J-008.31.441","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"J-008.31.442","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"J-008.31.443","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"J-008.31.444","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"J-008.31.445","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"J-008.31.446","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"J-008.31.447","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"J-008.31.448","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"J-008.31.451","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"J-008.31.453","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"J-008.31.455","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"J-008.31.457","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"J-008.31.461","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"J-008.31.463","heine","HEINE Premium Diagnostic Instrument","Instrument de Diagnostic HEINE Premium","",""
"4000011","haag-streit-u-k","HAAG-STREIT-U-K Instrument","Instrument HAAG-STREIT-U-K","",""
"7221069
Nouveau 2025","haag-streit-u-k","HAAG-STREIT-U-K Instrument","Instrument HAAG-STREIT-U-K","",""
"4000006","haag-streit-u-k","HAAG-STREIT-U-K Instrument","Instrument HAAG-STREIT-U-K","",""
"4000007","haag-streit-u-k","HAAG-STREIT-U-K Instrument","Instrument HAAG-STREIT-U-K","",""
"4000060","haag-streit-u-k","HAAG-STREIT-U-K Instrument","Instrument HAAG-STREIT-U-K","",""
"4000061","haag-streit-u-k","HAAG-STREIT-U-K Instrument","Instrument HAAG-STREIT-U-K","",""
"4000012","haag-streit-u-k","HAAG-STREIT-U-K Instrument","Instrument HAAG-STREIT-U-K","",""
"4000054","haag-streit-u-k","HAAG-STREIT-U-K Instrument","Instrument HAAG-STREIT-U-K","",""
"4000015","haag-streit-u-k","HAAG-STREIT-U-K Instrument","Instrument HAAG-STREIT-U-K","",""
"4000018","haag-streit-u-k","HAAG-STREIT-U-K Instrument","Instrument HAAG-STREIT-U-K","",""
"4000037 (NEO 900), 4000038 (NEO 900A)","haag-streit-u-k","HAAG-STREIT-U-K Instrument","Instrument HAAG-STREIT-U-K","",""
"-","haag-streit-u-k","HAAG-STREIT-U-K Instrument","Instrument HAAG-STREIT-U-K","",""
"1009000","haag-streit-u-k","HAAG-STREIT-U-K Instrument","Instrument HAAG-STREIT-U-K","",""
"7220096","haag-streit-u-k","HAAG-STREIT-U-K Instrument","Instrument HAAG-STREIT-U-K","",""
"7220376","haag-streit-u-k","HAAG-STREIT-U-K Instrument","Instrument HAAG-STREIT-U-K","",""
"7220400","haag-streit-u-k","HAAG-STREIT-U-K Instrument","Instrument HAAG-STREIT-U-K","",""
"1009001","haag-streit-u-k","HAAG-STREIT-U-K Instrument","Instrument HAAG-STREIT-U-K","",""
"7220460","haag-streit-u-k","HAAG-STREIT-U-K Instrument","Instrument HAAG-STREIT-U-K","",""
"7220494","haag-streit-u-k","HAAG-STREIT-U-K Instrument","Instrument HAAG-STREIT-U-K","",""
"7220497","haag-streit-u-k","HAAG-STREIT-U-K Instrument","Instrument HAAG-STREIT-U-K","",""
"7220531","haag-streit-u-k","HAAG-STREIT-U-K Instrument","Instrument HAAG-STREIT-U-K","",""
"7200154","haag-streit-u-k","HAAG-STREIT-U-K Instrument","Instrument HAAG-STREIT-U-K","",""
"7200033","haag-streit-u-k","HAAG-STREIT-U-K Instrument","Instrument HAAG-STREIT-U-K","",""
"1420155","haag-streit-u-k","HAAG-STREIT-U-K Instrument","Instrument HAAG-STREIT-U-K","",""
"7200032","haag-streit-u-k","HAAG-STREIT-U-K Instrument","Instrument HAAG-STREIT-U-K","",""
"9001806000","haag-streit-u-k","HAAG-STREIT-U-K Instrument","Instrument HAAG-STREIT-U-K","",""
"7220354","haag-streit-u-k","HAAG-STREIT-U-K Instrument","Instrument HAAG-STREIT-U-K","",""
"9001803000","haag-streit-u-k","HAAG-STREIT-U-K Instrument","Instrument HAAG-STREIT-U-K","",""
"7220001","haag-streit-u-k","HAAG-STREIT-U-K Instrument","Instrument HAAG-STREIT-U-K","",""
"5606011 (Set A), 5606013 (Set C)","haag-streit-u-k","HAAG-STREIT-U-K Instrument","Instrument HAAG-STREIT-U-K","",""
"FS802-35","foshan","FS803-35 Ophthalmic Instrument","Instrument Ophtalmologique FS803-35","",""
"FS902C","foshan","FS902C Medical Equipment","Equipement Medical FS902C","",""
